n,cvar,qcvar,var,qvar,tvar,qtvar,expectation
5000,0.172481,0.053633,0.168935,0.04144,0.162552,0.077037,0.003738
5000,0.173583,0.051649999999999995,0.16289199999999998,0.038023,0.171018,0.049895999999999996,0.003967
5000,0.186047,0.042161,0.16665,0.028846,0.16822299999999998,0.092377,0.003728
5000,0.19652699999999998,0.060957,0.17712,0.047911999999999996,0.18742899999999998,0.074754,0.003947
5000,0.17371299999999998,0.05778,0.17110899999999998,0.044506,0.173233,0.08115599999999999,0.004078
5000,0.185746,0.075705,0.16127999999999998,0.06241,0.16425599999999999,0.090584,0.0036569999999999997
5000,0.184674,0.057069999999999996,0.15853399999999998,0.043764,0.16008699999999998,0.079653,0.004038
5000,0.178763,0.075305,0.164967,0.062019,0.167952,0.087167,0.004088
5000,0.17207,0.062439999999999996,0.16663999999999998,0.035108,0.164456,0.08861,0.004058
5000,0.17252099999999998,0.048493999999999995,0.16278199999999998,0.043823999999999995,0.174084,0.079002,0.004038
5000,0.180636,0.03658,0.166931,0.020649999999999998,0.170427,0.100453,0.005490999999999999
5000,0.17968499999999998,0.059052999999999994,0.160328,0.045857999999999996,0.162732,0.08469299999999999,0.003998
5000,0.18779099999999999,0.034536,0.16613899999999998,0.020208999999999998,0.167852,0.088781,0.004608999999999999
5000,0.169686,0.066658,0.159687,0.053493,0.22716599999999998,0.096215,0.004418
5000,0.170066,0.05721,0.160027,0.044856,0.162151,0.075455,0.0038569999999999998
5000,0.176358,0.077759,0.176308,0.064013,0.171008,0.080054,0.004418
5000,0.17729,0.038504,0.168062,0.024787,0.168102,0.10750599999999999,0.004327999999999999
5000,0.178302,0.025168,0.16649899999999998,0.012294,0.16783199999999998,0.08355,0.0042179999999999995
5000,0.17593699999999998,0.092598,0.16555799999999998,0.067359,0.167602,0.09590399999999999,0.004369
5000,0.18903299999999998,0.050366999999999995,0.164636,0.035919,0.168453,0.103709,0.004528
5000,0.173263,0.06243,0.16180999999999998,0.049855,0.165036,0.082398,0.003957
5000,0.17546599999999998,0.059843999999999994,0.183552,0.048193,0.175447,0.076417,0.003797
5000,0.22300799999999998,0.08497299999999999,0.162191,0.058782999999999995,0.162131,0.098039,0.004288
5000,0.18187899999999999,0.068732,0.166269,0.036711,0.169004,0.083881,0.003928
5000,0.202649,0.060074999999999996,0.160778,0.046679,0.16275199999999998,0.08898099999999999,0.004097
5000,0.191929,0.06605699999999999,0.168103,0.039686,0.16599799999999998,0.087558,0.003888
5000,0.17174,0.07751899999999999,0.157532,0.065065,0.160247,0.09712599999999999,0.004619
5000,0.193932,0.061988999999999995,0.15903599999999998,0.048894,0.160879,0.085564,0.004128
5000,0.17021699999999998,0.083531,0.159546,0.091265,0.16177,0.065356,0.003997
5000,0.19824,0.070756,0.163604,0.050817999999999995,0.178622,0.070726,0.004608999999999999
5000,0.197399,0.07814,0.160989,0.06258999999999999,0.164776,0.065236,0.0052499999999999995
5000,0.17449499999999998,0.056678,0.165287,0.043393,0.16696999999999998,0.072299,0.004238
5000,0.170567,0.034255,0.183702,0.020519,0.160377,0.082068,0.003897
6000,0.21739699999999998,0.04199,0.222827,0.021290999999999997,0.216025,0.093971,0.0042179999999999995
6000,0.20732799999999998,0.071146,0.19450299999999998,0.043503,0.201015,0.09698599999999999,0.004248
6000,0.214882,0.06766,0.201978,0.047250999999999994,0.215634,0.062791,0.004559
6000,0.209251,0.078982,0.19525499999999998,0.058843,0.206587,0.09680599999999999,0.004088
6000,0.205755,0.073211,0.192139,0.052911,0.199512,0.08220799999999999,0.004579
6000,0.20793899999999998,0.07632699999999999,0.19469399999999998,0.056147999999999997,0.233849,0.11601199999999999,0.004168
6000,0.20430199999999998,0.087118,0.191909,0.06752999999999999,0.221966,0.090614,0.004578
6000,0.198631,0.034116,0.20560399999999998,0.013956999999999999,0.192039,0.11814699999999999,0.004177999999999999
6000,0.209412,0.032151,0.201286,0.012084,0.201948,0.09788799999999999,0.004228
