n,diff
84400,9.92807212153157
84500,9.940886384393444
84600,9.947366177399388
84700,9.965233480376583
84800,9.940654455209867
84900,9.94035799926884
85000,9.95473661681158
85100,9.944206541360032
85200,9.916629173772833
85300,9.938246675654966
85400,9.967734164460254
85500,9.954370773305278
85600,9.94335384876333
85700,9.958968084819325
85800,9.95129606114088
85900,9.942663713995245
86000,9.955886165690082
86100,9.947764354538513
86200,9.930491794857396
86300,9.945279630457534
86400,9.95814479686873
86500,9.957565604410362
86600,9.966402283550693
86700,9.941854569209553
86800,9.935953601784554
86900,9.93643883448722
87000,9.944024693967798
87100,9.941785781783388
87200,9.93897241848174
87300,9.952296320914037
87400,9.939438772296889
87500,9.952951945413226
87600,9.950550697880644
87700,9.949655525875684
87800,9.948384188194666
87900,9.934952517793
88000,9.946922748031056
88100,9.947967680288613
88200,9.941610716414083
88300,9.93815090881494
88400,9.953318422844895
88500,9.953095018222292
88600,9.932424524921458
88700,9.947455137049118
88800,9.927325384538861
88900,9.938274165452583
89000,9.951945427305596
89100,9.927511985993185
89200,9.944818387811672
89300,9.927508252971194
89400,9.943318214780668
89500,9.957393925517259
89600,9.944174063717554
89700,9.970291996377348
89800,9.933308490419762
89900,9.94916154043164
90000,9.952742361476695
90100,9.952341839919498
90200,9.955289849492814
90300,9.934501303532947
90400,9.9408609234223
90500,9.94673477393684
90600,9.930638059511068
90700,9.968045879811228
90800,9.958857834707196
90900,9.94186252864052
91000,9.926635141739133
91100,9.92929858660532
91200,9.94019591432474
91300,9.928167514753156
91400,9.940848365950288
91500,9.923612226764526
91600,9.93968638690587
91700,9.947545573714088
91800,9.942131841843164
91900,9.933486915575543
92000,9.95907855549077
92100,9.946443161653349
92200,9.935577734438851
92300,9.93481906890247
92400,9.939527353227383
92500,9.94235088216071
92600,9.956620723261771
92700,9.940774411577344
92800,9.952275787891729
92900,9.946132455217175
93000,9.946389617676786
93100,9.937794492668083
93200,9.939655982988917
93300,9.94011277666015
93400,9.94456326209476
93500,9.940024775384785
93600,9.96501145151521
93700,9.9640425400613
93800,9.929870908018458
93900,9.954759949197175
94000,9.930354495598834
94100,9.940750930823896
94200,9.950147631623231
94300,9.945777621494976
94400,9.9533324130958
94500,9.942026827632347
94600,9.96346395436418
94700,9.944592896751814
94800,9.969336259207495
94900,9.945294882875501
95000,9.933989064000379
95100,9.935994336650154
95200,9.956384554362486
95300,9.96822795092001
95400,9.970929726446833
95500,9.941323344245859
95600,9.957827636208435
95700,9.951774839377109
95800,9.96912622949781
95900,9.949624693535036
96000,9.951507366517902
96100,9.937797604985903
96200,9.937125596998243
96300,9.949025104685077
96400,9.946224774054564
96500,9.927086706615817
96600,9.933315824875116
96700,9.941929330528275
96800,9.945727948508896
96900,9.953647240074119
97000,9.959035096300326
97100,9.927637728082722
97200,9.94968845460398
97300,9.953891888227083
97400,9.943218694937961
97500,9.935347929839786
97600,9.944650796001817
97700,9.951650629048551
97800,9.948861122112909
97900,9.959237048499475
98000,9.939890215534092
98100,9.93212350348059
98200,9.958096136925029
98300,9.925429948674157
98400,9.963159528148033
98500,9.935259534184858
98600,9.932051571617237
98700,9.938596659488148
98800,9.94224103381373
98900,9.963998410198023
99000,9.9431884070692
99100,9.94559295056279
99200,9.921841634081993
99300,9.95271379430487
99400,9.94823425708438
99500,9.933943543566599
99600,9.948333027779462
99700,9.94027954437697
99800,9.937343449857472
99900,9.934369319432932
100000,9.944236497254678
