n,cvar,qcvar,var,qvar,tvar,qtvar
38,36751.0,1543.0,35999.0,771.0,1683.0,2445.0
39,36390.0,1673.0,35668.0,782.0,1803.0,2164.0
39,36410.0,1723.0,35829.0,812.0,1603.0,2184.0
39,36370.0,1493.0,35649.0,771.0,1714.0,2254.0
39,36430.0,1523.0,35969.0,772.0,1613.0,2365.0
39,36150.0,1493.0,35678.0,791.0,1593.0,2034.0
39,35989.0,1443.0,35538.0,762.0,1503.0,2044.0
39,36229.0,1563.0,36110.0,781.0,1493.0,2054.0
39,36199.0,1553.0,53042.0,771.0,1493.0,2084.0
39,36109.0,1452.0,35689.0,791.0,1533.0,2325.0
39,36250.0,1473.0,35618.0,772.0,1623.0,2054.0
40,20118.0,922.0,19467.0,561.0,932.0,1363.0
40,20008.0,882.0,19548.0,551.0,1282.0,1373.0
40,19768.0,1393.0,19457.0,541.0,902.0,1523.0
40,19899.0,921.0,20379.0,551.0,1052.0,1052.0
40,19858.0,831.0,19638.0,541.0,861.0,1212.0
40,19698.0,771.0,19939.0,571.0,1002.0,1322.0
40,23114.0,1062.0,19718.0,541.0,792.0,1072.0
40,19708.0,872.0,19708.0,551.0,1052.0,1202.0
40,20409.0,791.0,19437.0,551.0,782.0,1213.0
40,19828.0,771.0,20209.0,541.0,1072.0,1143.0
41,19127.0,842.0,18866.0,501.0,782.0,1353.0
41,18847.0,741.0,18566.0,511.0,892.0,981.0
41,19277.0,881.0,19117.0,511.0,791.0,1212.0
41,37172.0,862.0,18575.0,511.0,781.0,982.0
41,18666.0,1132.0,18395.0,501.0,771.0,1293.0
41,18666.0,752.0,18325.0,511.0,1012.0,1052.0
41,18706.0,1012.0,18736.0,511.0,751.0,992.0
41,18656.0,741.0,18406.0,500.0,1022.0,1002.0
41,18605.0,732.0,18395.0,511.0,762.0,1012.0
41,18957.0,822.0,18376.0,511.0,762.0,1323.0
42,22092.0,912.0,22092.0,591.0,1142.0,1122.0
42,22333.0,932.0,21651.0,591.0,1533.0,1283.0
42,23786.0,942.0,22884.0,562.0,1303.0,1513.0
42,22403.0,912.0,21792.0,571.0,1062.0,1142.0
42,22153.0,931.0,21632.0,581.0,1213.0,1422.0
42,22253.0,831.0,21632.0,581.0,1443.0,1333.0
42,22062.0,902.0,21682.0,572.0,982.0,1152.0
42,21993.0,922.0,21471.0,571.0,892.0,1353.0
42,22023.0,912.0,21982.0,582.0,882.0,1102.0
42,22042.0,901.0,21812.0,571.0,961.0,1162.0
43,33324.0,1603.0,33144.0,762.0,1583.0,1913.0
43,33174.0,1262.0,32984.0,761.0,1413.0,1823.0
43,33354.0,1272.0,32743.0,761.0,1473.0,1603.0
43,33084.0,1182.0,32883.0,742.0,1403.0,1714.0
43,33144.0,1153.0,32643.0,742.0,1362.0,1603.0
43,33014.0,1393.0,32873.0,741.0,1363.0,1703.0
43,33404.0,1243.0,33013.0,742.0,1373.0,1603.0
43,33033.0,1163.0,32954.0,741.0,1392.0,1683.0
43,33284.0,1222.0,33044.0,742.0,1433.0,1663.0
43,33143.0,1162.0,32954.0,751.0,1383.0,1733.0
44,33244.0,1152.0,32693.0,751.0,1643.0,1884.0
44,33194.0,1373.0,51319.0,771.0,1513.0,2114.0
44,33124.0,1162.0,32652.0,752.0,1603.0,1723.0
44,33214.0,1312.0,32853.0,751.0,1533.0,1803.0
44,33114.0,1243.0,32683.0,751.0,1754.0,1814.0
44,33504.0,1313.0,33003.0,752.0,1533.0,1773.0
44,33174.0,1293.0,32713.0,741.0,1533.0,1794.0
44,33334.0,1282.0,32983.0,742.0,1533.0,1643.0
